sequence.identifier,background.identifier,vehicle1.identifier,vehicle1.trajectory,vehicle1.appearance_change,vehicle1.shadowed,vehicle1.dust,vehicle2.identifier,vehicle2.trajectory,vehicle2.appearance_change,vehicle2.shadowed,vehicle2.dust,vehicle3.identifier,vehicle3.trajectory,vehicle3.appearance_change,vehicle3.shadowed,vehicle3.dust,vehicle4.identifier,vehicle4.trajectory,vehicle4.appearance_change,vehicle4.shadowed,vehicle4.dust,vehicle5.identifier,vehicle5.trajectory,vehicle5.appearance_change,vehicle5.shadowed,vehicle5.dust,man1.identifier,man1.trajectory,man1.appearance_change,man1.shadowed,man2.identifier,man2.trajectory,man2.appearance_change,man2.shadowed,man3.identifier,man3.trajectory,man3.appearance_change,man3.shadowed,man4.identifier,man4.trajectory,man4.appearance_change,man4.shadowed,man5.identifier,man5.trajectory,man5.appearance_change,man5.shadowed,distractors.butterfly_level,distractors.bird_level,distractors.far_moving_vegetation,distractors.close_moving_vegetation,distractors.light_reflexion,distractors.blinking_light,occultants.solid_level,occultants.semi_transparent_level,camera.vibration,camera.focal_change,camera.pan_motion,camera.tilt_motion,camera.altitude,capture.illumination_level,capture.global_light_change_level,capture.local_light_change_level,capture.heat_haze_level,capture.humidity_level,capture.fog_level,signal_quality.picture_width,signal_quality.picture_height,signal_quality.force_balance,signal_quality.luminance_mean,signal_quality.luminance_dev,signal_quality.chrominance_U_mean,signal_quality.chrominance_U_dev,signal_quality.chrominance_V_mean,signal_quality.chrominance_V_dev,signal_quality.blur_level,signal_quality.static_noise_level,signal_quality.dynamic_noise_level,signal_quality.frame_instability,signal_quality.line_instability,signal_quality.compression_artefact_level,label_(0_if_usable_and_1_if_not)
13,0,9,0,0,0,0,4,1,0,0,0,4,7,0,0,0,7,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75089,0.271107,0.457477,0.648764,0,0,0.354398,0.140508,0,0,0,0,1.2,0.681129,0.571233,0.781794,0,0,0,1280,720,0,104.861,33.3667,122.815,16.0287,128.283,5.9408,0,0,0,0,0,0,0
14,0,13,7,0,0,0,14,6,0,0,0,8,6,0,0,0,0,5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341844,0.00558253,0.393388,0.415359,0,0,0.221243,0.992994,0,0,0,0,1.2,0.525636,0.0876721,0.677289,0,0,0,1280,720,0,88.0033,80.5747,122.952,25.601,116.431,24.2371,0,0,0,0,0.125877,0,0
15,0,8,3,0,0,0,0,6,0,0,0,4,2,0,0,0,5,3,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214172,0.017972,0.109201,0.958741,0,0,0.36104,0.958182,0,0,0,0,1.2,0.684021,0.0053766,0.11023,0,0,0,1280,720,0,100.951,36.1257,114.035,17.239,122.868,11.9458,0,0,0.103721,0,0,0,0
16,0,9,6,0,0,0,11,0,0,0,0,12,6,0,0,0,4,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299781,0.178322,0.110008,0.437823,0,0,0.636425,0.281938,0,0,0,0,1.2,0.533899,0.622757,0.307661,0,0,0,1280,720,0,108.269,75.8057,118.739,6.56409,139.079,28.9054,0,0,0,0,0,0,0
17,0,13,4,0,0,0,12,7,0,0,0,0,6,0,0,0,5,2,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26862,0.0522243,0.0390029,0.365567,0,0,0.284498,0.748207,0,0,0,0,1.2,0.34961,0.640272,0.0731435,0,0,0,1280,720,0,96.3746,27.7559,126.13,7.62395,113.078,4.2791,0,0,0,0.123065,0,0,0
18,0,9,3,0,0,0,8,0,0,0,0,9,6,0,0,0,14,3,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529991,0.147708,0.55034,0.493078,0,0,0.455288,0.824682,0,0,0,0,1.2,0.840378,0.0915451,0.797207,0,0,0,1280,720,0,119.305,73.8071,139.695,19.3865,128.017,19.4184,0,0,0,0,0,0,0
19,0,5,5,0,0,0,9,7,0,0,0,14,3,0,0,0,1,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736537,0.127357,0.594152,0.486406,0,0,0.269034,0.921832,0,0,0,0,1.2,0.899469,0.0553013,0.0988856,0,0,0,1280,720,0,120,24.5589,141.546,23.2831,114.246,20.4924,0,0,0,0,0.449427,0.654395,0
20,0,5,4,0,0,0,14,7,0,0,0,4,0,0,0,0,10,5,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126115,0.209428,0.224475,0.545717,0,0,0.336843,0.390202,0,0,0,0,1.2,0.673493,0.797571,0.0659449,0,0,0,1280,720,0,121.043,71.8963,120.139,25.1796,120.457,17.0481,0,0,0,0,0,0,0
21,0,10,2,0,0,0,10,4,0,0,0,0,1,0,0,0,12,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35281,0.0703351,0.465517,0.469728,0,0,0.496146,0.236248,0,0,0,0,1.2,0.533951,0.0880029,0.0139321,0,0,0,1280,720,0,81.9502,20.9227,143.73,10.1893,124.745,9.30094,0,0,0,0,0.679548,0,0
22,0,3,3,0,0,0,4,3,0,0,0,3,4,0,0,0,2,7,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608183,0.117489,0.638895,0.926897,0,0,0.0991725,0.959708,0,0,0,0,1.2,0.529766,0.0221289,0.105517,0,0,0,1280,720,0,146.674,10.3212,116.9,28.5501,125.341,10.8469,0,0,0,0,0,0,0
23,0,11,6,0,0,0,10,1,0,0,0,14,1,0,0,0,3,5,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101424,0.0742533,0.937771,0.0340007,0,0,0.68192,0.394361,0,0,0,0,1.2,0.964594,0.371769,0.0361014,0.383455,0,0,1280,720,0,100.962,46.4239,142.869,2.19447,143.707,28.1725,0,0,0,0,0,0,0
24,0,1,0,0,0,0,6,0,0,0,0,11,1,0,0,0,5,6,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84221,0.0378723,0.683868,0.695814,0,0,0.708336,0.539197,0,0,0,0,1.2,0.911284,0.276561,0.312571,0.77398,0,0,1280,720,0,121.044,10.6951,133.556,16.0497,129.197,19.5928,0,0,0,0,0,0,0
25,0,5,2,0,0,0,7,2,0,0,0,12,6,0,0,0,13,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691086,0.066274,0.0732352,0.0089955,0,0,0.501257,0.0741117,0,0,0,0,1.2,0.76041,0.431019,0.147784,0,0,0,1280,720,0,140.253,50.0269,128.076,11.8461,133.089,11.4035,0,0,0,0,0,0.242016,0
26,0,9,5,0,0,0,6,6,0,0,0,11,2,0,0,0,8,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131499,0.000899211,0.964323,0.164883,0,0,0.248444,0.12065,0,0,0,0,1.2,0.710473,0.237086,0.649333,0,0,0,1280,720,0,135.137,84.9123,141.086,16.5343,123.94,5.74696,0,0,0,0.617452,0,0,0
27,0,14,0,0,0,0,14,5,0,0,0,13,0,0,0,0,9,4,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904625,0.0375368,0.826778,0.141193,0,0,0.834969,0.201108,0,0,0,0,1.2,0.706456,0.146453,0.0225587,0,0,0,1280,720,0,113.751,45.9601,119.009,23.433,114.918,4.79923,0,0,0,0,0,0,0
28,0,3,0,0,0,0,14,7,0,0,0,15,7,0,0,0,5,1,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273554,0.07748,0.295427,0.340312,0,0,0.212751,0.779659,0,0,0,0,1.2,0.970152,0.25291,0.112881,0.141104,0,0,1280,720,0,131.259,11.2565,118.918,21.5923,117.835,2.10203,0,0,0,0,0,0,0
29,0,9,4,0,0,0,11,0,0,0,0,5,5,0,0,0,2,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227511,0.0219618,0.253153,0.424612,0,0,0.28472,0.605233,0,0,0,0,1.2,0.344044,0.307663,0.598204,0,0,0,1280,720,0,169.633,12.5752,122.794,27.4829,136.108,15.6179,0,0,0,0,0,0,0
30,0,4,2,0,0,0,0,6,0,0,0,3,0,0,0,0,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506754,0.270464,0.759437,0.366431,0,0,0.168174,0.748849,0,0,0,0,1.2,0.762133,0.0591517,0.350521,0,0,0,1280,720,1,147.163,27.7079,137.629,5.69204,134.807,7.26362,0,0,0,0,0,0,0
31,0,6,5,0,0,0,10,4,0,0,0,11,0,0,0,0,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254782,0.101979,0.552314,0.102322,0,0,0.561219,0.852,0,0,0,0,1.2,0.897653,0.0127315,0.0365284,0,0,0,1280,720,0,171.664,43.0601,128.912,19.9642,129.843,1.4368,0,0,0,0,0,0,0
32,0,4,6,0,0,0,0,3,0,0,0,11,0,0,0,0,2,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566595,0.130682,0.622308,0.89164,0,0,0.828719,0.683879,0,0,0,0,1.2,0.47331,0.228407,0.58669,0,0,0,1280,720,0,96.8622,39.4199,112.629,26.6943,121.026,22.6282,0,0,0,0,0,0,0
33,0,7,4,0,0,0,8,0,0,0,0,13,1,0,0,0,0,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189949,0.0311371,0.873473,0.913434,0,0,0.172605,0.363342,0,0,0,0,1.2,0.975389,0.270524,0.0800441,0.0391923,0,0,1280,720,0,147.466,9.50392,114.23,30.2927,142.788,16.577,0,0,0,0,0,0,0
34,0,7,2,0,0,0,3,0,0,0,0,6,4,0,0,0,7,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200495,0.642008,0.847587,0.560485,0,0,0.436192,0.617777,0,0,0,0,1.2,0.279996,0.231246,0.132373,0,0,0,1280,720,0,80.3797,27.8972,117.594,4.23067,132.254,25.9617,0,0,0,0,0,0,0
35,0,12,7,0,0,0,12,4,0,0,0,2,5,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642284,0.0476387,0.313546,0.180319,0,0,0.849942,0.512373,0,0,0,0,1.2,0.892718,0.124439,0.652902,0,0,0,1280,720,0,174.497,64.7673,138.45,7.7555,132.152,24.169,0,0,0,0,0,0,0
36,0,6,1,0,0,0,13,2,0,0,0,13,6,0,0,0,3,3,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236507,0.164826,0.406999,0.71141,0,0,0.876143,0.353836,0,0,0,0,1.2,0.256114,0.0443771,0.354194,0,0,0,1280,720,0,148.077,66.9145,138.772,29.1133,116.821,10.0399,0,0,0,0,0,0,0
37,0,1,4,0,0,0,13,5,0,0,0,0,3,0,0,0,7,3,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433975,0.00282623,0.255202,0.11295,0,0,0.257509,0.00792171,0,0,0,0,1.2,0.666627,0.288493,0.0317945,0,0,0,1280,720,0,109.697,30.0863,143.816,30.2491,137.492,24.9561,0,0.176187,0,0,0,0,0
38,0,10,2,0,0,0,2,7,0,0,0,5,4,0,0,0,13,4,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244393,0.0274218,0.889194,0.832687,0,0,0.740726,0.179264,0,0,0,0,1.2,0.573534,0.0128514,0.596959,0,0,0,1280,720,0,89.4169,51.9947,137.594,9.45394,138.605,24.6241,0.110407,0,0,0,0,0,0
39,0,3,6,0,0,0,10,2,0,0,0,2,1,0,0,0,15,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139041,0.0454176,0.757224,0.0328152,0,0,0.683094,0.470157,0,0,0,0,1.2,0.830598,0.1524,0.794501,0,0,0,1280,720,0,116.277,42.002,115.59,10.0853,139.801,26.6018,0,0,0,0,0,0,0
40,0,13,3,0,0,0,1,5,0,0,0,12,4,0,0,0,9,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318145,0.0257705,0.183287,0.268034,0,0,0.952722,0.75554,0,0,0,0,1.2,0.906293,0.40019,0.435432,0.661046,0,0,1280,720,0,104.532,58.5045,137.572,8.25187,132.145,7.24895,0,0,0,0,0,0,0
41,0,8,6,0,0,0,12,3,0,0,0,3,2,0,0,0,7,4,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112347,0.29432,0.47543,0.584148,0,0,0.37947,0.0690001,0,0,0,0,1.2,0.47983,0.0410924,0.265907,0,0,0,1280,720,0,91.4634,46.3783,127.8,16.1356,116.292,12.3332,0,0,0,0,0,0,0
42,0,15,0,0,0,0,8,3,0,0,0,11,6,0,0,0,1,1,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131808,0.446256,0.603289,0.831959,0,0,0.311911,0.620258,0,0,0,0,1.2,0.99994,0.11082,0.47144,0.507513,0,0,1280,720,0,136.241,80.0801,125.575,31.2992,127.422,2.91163,0,0,0,0,0,0,0
43,0,12,1,0,0,0,4,2,0,0,0,3,1,0,0,0,2,5,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567697,0.00707349,0.569346,0.67633,0,0,0.694712,0.706728,0,0,0,0,1.2,0.375359,0.084638,0.144446,0,0,0,1280,720,0,101.826,58.3542,140.335,10.3402,128.812,23.4535,0,0,0,0,0,0,0
44,0,8,3,0,0,0,3,3,0,0,0,12,1,0,0,0,0,7,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294005,0.369722,0.20291,0.325292,0,0,0.617521,0.688874,0,0,0,0,1.2,0.0256713,0.670835,0.0258022,0,0,0,1280,720,0,87.3005,85.9382,123.793,22.2073,129.406,31.1187,0,0,0,0,0,0,0
45,0,6,4,0,0,0,1,2,0,0,0,6,6,0,0,0,4,1,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82873,0.0525219,0.198278,0.521949,0,0,0.309938,0.32747,0,0,0,0,1.2,0.588153,0.00163312,0.803121,0,0,0,1280,720,0,139.466,94.2551,112.231,2.29392,113.646,30.0596,0,0,0,0,0,0,0
46,0,14,4,0,0,0,8,6,0,0,0,3,7,0,0,0,12,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104988,0.211453,0.399414,0.777334,0,0,0.861588,0.694,0,0,0,0,1.2,0.86566,0.325365,0.473921,0,0,0,1280,720,0,87.5848,93.3781,132.636,15.5879,135.656,21.6428,0,0,0,0,0,0,0
47,0,11,4,0,0,0,0,1,0,0,0,7,3,0,0,0,6,4,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286368,0.000988343,0.0781531,0.498746,0,0,0.349724,0.751655,0,0,0,0,1.2,0.645836,0.00565519,0.00908877,0,0,0,1280,720,0,111.068,40.498,115.437,6.71713,120.302,16.8249,0,0,0,0,0,0,0
48,0,8,1,0,0,0,13,0,0,0,0,0,0,0,0,0,6,2,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000983463,0.0872585,0.0171953,0.880803,0,0,0.522397,0.729615,0,0,0,0,1.2,0.448027,0.0437279,0.0856119,0,0,0,1280,720,0,136.726,93.6439,129.872,2.36871,128.228,19.7705,0,0,0,0,0,0,0
49,0,3,6,0,0,0,10,3,0,0,0,5,7,0,0,0,8,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453356,0.0840832,0.32304,0.950645,0,0,0.814744,0.929318,0,0,0,0,1.2,0.470309,0.420388,0.116603,0,0,0,1280,720,0,112.225,91.8702,129.947,26.49,117.205,10.5305,0,0.672665,0,0,0,0,0
50,0,5,1,0,0,0,7,2,0,0,0,14,0,0,0,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260379,0.743998,0.2288,0.952103,0,0,0.106507,0.84166,0,0,0,0,1.2,0.584908,0.321275,0.368793,0,0,0,1280,720,0,101.823,2.24007,124.411,31.3818,119.022,7.32312,0,0.372591,0,0,0,0,0
51,0,8,3,0,0,0,14,4,0,0,0,6,3,0,0,0,9,2,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07672,0.243424,0.542258,0.344454,0,0,0.624852,0.465482,0,0,0,0,1.2,0.784645,0.50611,0.189865,0,0,0,1280,720,0,124.933,41.1325,116.978,28.2162,137.288,27.8185,0,0,0,0,0,0,0
52,0,5,1,0,0,0,9,4,0,0,0,15,5,0,0,0,3,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814731,0.0751433,0.834903,0.450379,0,0,0.37279,0.655937,0,0,0,0,1.2,0.527425,0.540294,0.0214086,0,0,0.395649,1280,720,0,144.233,78.3036,133.851,20.0852,140.348,7.13239,0,0,0,0,0,0,0
53,0,15,0,0,0,0,11,6,0,0,0,6,0,0,0,0,3,6,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034045,0.0113317,0.1567,0.991785,0,0,0.188766,0.782881,0,0,0,0,1.2,0.558827,0.165008,0.393289,0,0,0.658828,1280,720,0,107.474,41.354,137.114,11.867,116.987,24.116,0,0,0,0,0.169644,0,0
54,0,13,0,0,0,0,10,1,0,0,0,7,5,0,0,0,14,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739841,0.0609815,0.815929,0.25347,0,0,0.391523,0.433399,0,0,0,0,1.2,0.935845,0.554065,0.1532,0.0881572,0,0,1280,720,0,97.769,86.517,122.353,19.5755,132.203,22.5551,0.00569828,0,0,0,0,0,0
55,0,14,7,0,0,0,10,0,0,0,0,1,4,0,0,0,8,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716891,0.0466217,0.260923,0.459189,0,0,0.783261,0.755114,0,0,0,0,1.2,0.856051,0.795823,0.664907,0,0,0,1280,720,0,121.14,38.4294,118.891,13.5595,116.723,25.8403,0,0,0,0,0,0,0
56,0,15,0,0,0,0,2,3,0,0,0,3,2,0,0,0,9,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198589,0.051619,0.690487,0.290104,0,0,0.558934,0.0490747,0,0,0,0,1.2,0.519122,0.260858,0.0712379,0,0,0,1280,720,1,104.028,88.4196,133.833,17.5846,143.041,27.7343,0,0,0,0.120649,0,0,0
57,0,8,1,0,0,0,0,5,0,0,0,13,6,0,0,0,12,5,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173158,0.0705793,0.552009,0.107831,0,0,0.895629,0.0512442,0,0,0,0,1.2,0.980542,0.0347275,0.0535442,0.0815318,0,0,1280,720,0,110.362,26.3053,124.351,26.1462,124.049,28.3845,0,0,0,0,0,0,0
58,0,8,5,0,0,0,0,7,0,0,0,12,6,0,0,0,10,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426342,0.451717,0.157646,0.0141354,0,0,0.456607,0.194241,0,0,0,0,1.2,0.987421,0.164717,0.106489,0.0709476,0,0,1280,720,0,141.492,73.7716,134.158,14.0813,116.662,26.9219,0,0,0,0,0,0,0
59,0,10,2,0,0,0,8,2,0,0,0,10,1,0,0,0,13,6,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280967,0.207128,0.918619,0.934896,0,0,0.188518,0.454499,0,0,0,0,1.2,0.670019,0.0846077,0.134145,0,0,0,1280,720,0,167.136,25.9586,114.634,19.7336,124.038,30.7675,0,0,0,0,0,0.313308,0
